viewer_id,watch_duration_mins,session_count,dropoff_count,watch_duration_minmax,watch_duration_zscore,vectorized_engagement_index
V1127,88.71,17,0,0.2408,1.0276,72.1293
V1128,0.31,9,0,0.0003,-0.9934,2.101
V1129,32.17,18,2,0.087,-0.265,25.4604
V1130,24.31,13,3,0.0656,-0.4447,19.0411
V1131,11.3,15,1,0.0302,-0.7422,9.7113
V1132,5.75,8,1,0.0151,-0.869,5.2451
V1133,18.54,22,4,0.0499,-0.5766,15.3094
V1134,128.84,16,1,0.35,1.945,107.3028
V1135,17.57,11,2,0.0472,-0.5988,13.8501
V1136,32.92,10,0,0.089,-0.2479,25.4215
V1137,54.63,8,4,0.1481,0.2484,42.5216
V1138,20.34,22,3,0.0548,-0.5355,16.6585
V1139,160.55,14,2,0.4362,2.67,135.8126
V1140,147.69,15,2,0.4013,2.376,124.1848
V1141,13.05,22,3,0.0349,-0.7021,11.3492
V1142,30.94,9,3,0.0836,-0.2931,23.7179
V1143,16.11,8,1,0.0433,-0.6322,12.4564
V1144,15.09,10,3,0.0405,-0.6555,11.9256
V1145,1.69,11,3,0.004,-0.9619,3.0229
V1146,42.32,13,0,0.1146,-0.033,33.1399
V1147,31.43,8,4,0.0849,-0.2819,23.9545
V1148,2.38,14,4,0.0059,-0.9461,3.6808
V1149,14.7,13,2,0.0394,-0.6644,11.9508
V1150,107.5,9,2,0.2919,1.4571,87.7368
V1151,12.32,9,2,0.0329,-0.7188,9.8489
V1152,7.04,3,0,0.0186,-0.8395,5.1421
V1153,30.25,10,2,0.0817,-0.3089,23.3148
V1154,190.98,3,2,0.519,3.3656,162.2878
V1155,12.47,13,3,0.0334,-0.7154,10.342
V1156,50.18,11,0,0.136,0.1467,39.2973
V1157,64.52,12,1,0.175,0.4745,51.1984
V1158,12.21,7,3,0.0326,-0.7213,9.4866
V1159,58.62,10,3,0.1589,0.3397,46.0653
V1160,20.63,9,4,0.0556,-0.5289,15.8576
V1161,45.02,22,0,0.1219,0.0287,35.902
V1162,45.17,14,3,0.1223,0.0322,35.4604
V1163,34.53,17,1,0.0934,-0.2111,27.2552
V1164,4.26,19,2,0.011,-0.9031,5.2244
V1165,81.16,12,5,0.2202,0.855,65.1801
V1166,17.41,17,0,0.0468,-0.6025,14.2522
V1167,9.29,14,1,0.0247,-0.7881,8.2383
V1168,1.87,9,3,0.0045,-0.9577,2.909
V1169,40.22,11,3,0.1089,-0.081,31.23
V1170,50.93,7,1,0.138,0.1639,39.4052
V1171,0.75,13,0,0.0015,-0.9833,2.7312
V1172,32.29,17,3,0.0873,-0.2623,25.4721
V1173,11.56,10,3,0.0309,-0.7362,9.4108
V1174,46.63,15,0,0.1263,0.0656,36.7646
V1175,8.62,15,2,0.0229,-0.8034,7.8404
V1176,52.84,16,0,0.1432,0.2075,41.8851
V1177,22.0,12,4,0.0593,-0.4975,17.1956
V1178,124.22,10,0,0.3374,1.8394,102.6735
V1179,6.66,11,2,0.0175,-0.8482,6.1745
V1180,18.77,11,1,0.0505,-0.5714,14.7486
V1181,5.42,9,0,0.0142,-0.8766,5.1721
V1182,116.38,9,1,0.3161,1.6602,95.5815
V1183,94.43,13,2,0.2563,1.1583,76.7373
V1184,13.42,13,5,0.0359,-0.6937,10.9823
V1185,48.54,11,1,0.1315,0.1092,37.949
V1186,76.48,12,3,0.2075,0.748,61.2313
V1187,36.46,11,1,0.0986,-0.167,28.2854
V1188,33.94,13,5,0.0918,-0.2246,26.4236
V1189,12.46,13,2,0.0333,-0.7156,10.3517
V1190,4.4,20,0,0.0114,-0.8999,5.4048
V1191,102.38,8,1,0.278,1.3401,83.1422
V1192,103.8,10,2,0.2818,1.3726,84.6081
V1193,45.12,12,0,0.1222,0.031,35.2979
V1194,18.63,10,1,0.0501,-0.5746,14.541
V1195,19.33,15,3,0.052,-0.5586,15.4741
V1196,58.25,10,0,0.1579,0.3312,45.8091
V1197,102.33,14,0,0.2778,1.339,83.7277
V1198,98.15,11,2,0.2665,1.2434,79.7828
V1199,68.11,8,2,0.1847,0.5566,53.744
V1200,46.23,8,2,0.1252,0.0564,35.7186
V1201,3.96,14,4,0.0102,-0.91,4.6552
V1202,7.93,13,3,0.021,-0.8192,7.1946
V1203,102.97,21,1,0.2796,1.3536,84.7305
V1204,41.96,15,3,0.1136,-0.0412,32.9628
V1205,0.42,20,1,0.0006,-0.9909,3.0298
V1206,4.81,9,3,0.0125,-0.8905,4.7277
V1207,49.01,13,3,0.1328,0.12,38.482
V1208,0.23,10,2,0.0001,-0.9952,2.1441
V1209,7.89,15,3,0.0209,-0.8201,7.3278
V1210,35.81,16,2,0.0969,-0.1818,28.1752
V1211,52.98,14,3,0.1436,0.2107,41.7999
V1212,47.49,13,1,0.1286,0.0852,37.2834
V1213,11.43,13,3,0.0305,-0.7392,9.609
V1214,56.04,9,2,0.1519,0.2807,43.8405
V1215,12.19,13,4,0.0326,-0.7218,10.1269
V1216,17.71,9,3,0.0476,-0.5956,13.7171
V1217,61.76,13,1,0.1675,0.4115,48.9896
V1218,47.19,14,1,0.1278,0.0784,37.1236
V1219,85.14,11,2,0.2311,0.946,68.5414
V1220,48.23,7,4,0.1306,0.1021,37.1606
V1221,37.8,14,2,0.1023,-0.1363,29.5946
V1222,4.43,9,3,0.0115,-0.8992,4.4841
V1223,20.63,8,1,0.0556,-0.5289,15.7816
V1224,13.87,9,2,0.0372,-0.6834,10.9514
V1225,12.59,6,4,0.0337,-0.7127,9.578
V1226,162.55,9,4,0.4417,2.7157,137.1211
V1227,22.47,17,1,0.0606,-0.4868,17.989
V1228,100.17,12,3,0.272,1.2896,81.6213
V1229,44.88,10,0,0.1215,0.0255,34.9042
V1230,71.27,13,2,0.1933,0.6289,56.9311
V1231,31.43,12,5,0.0849,-0.2819,24.3783
V1232,38.71,8,1,0.1047,-0.1155,29.7187
V1233,30.52,8,2,0.0825,-0.3028,23.283
V1234,9.77,7,2,0.026,-0.7771,7.7982
V1235,57.68,15,0,0.1564,0.3182,45.7882
V1236,14.83,18,3,0.0398,-0.6615,12.394
V1237,1.11,11,1,0.0024,-0.9751,2.7265
V1238,46.66,12,4,0.1264,0.0662,36.473
V1239,8.77,12,5,0.0233,-0.8,7.6422
V1240,126.95,15,3,0.3448,1.9018,105.5082
V1241,138.49,9,2,0.3762,2.1656,115.3088
V1242,110.86,12,0,0.301,1.534,91.039
V1243,20.8,11,3,0.056,-0.525,16.2201
V1244,0.7,13,1,0.0013,-0.9845,2.6884
V1245,118.6,18,1,0.3221,1.7109,98.3183
V1246,25.15,11,1,0.0679,-0.4255,19.5262
V1247,153.04,15,1,0.4158,2.4983,129.059
V1248,149.12,6,2,0.4051,2.4087,124.4895
V1249,86.28,8,2,0.2342,0.972,69.1747
V1250,15.69,13,1,0.0421,-0.6418,12.682
V1251,21.88,18,0,0.059,-0.5003,17.6277
V1252,85.71,13,5,0.2326,0.959,69.164
V1253,17.15,8,0,0.0461,-0.6084,13.2303
V1254,8.36,11,0,0.0222,-0.8094,7.3508
V1255,36.62,11,1,0.0991,-0.1633,28.4115
V1256,123.81,21,1,0.3363,1.83,103.1239
V1257,53.59,21,3,0.1452,0.2247,42.7588
V1258,37.99,10,1,0.1028,-0.132,29.3892
V1259,4.6,11,0,0.0119,-0.8953,4.8611
V1260,42.95,13,1,0.1163,-0.0186,33.628
V1261,207.48,13,4,0.5639,3.7429,179.166
V1262,6.79,8,2,0.0179,-0.8453,5.9158
V1263,32.87,15,0,0.0889,-0.249,25.8321
V1264,94.44,8,3,0.2564,1.1586,76.199
V1265,60.75,10,1,0.1647,0.3884,47.8619
V1266,53.73,14,1,0.1456,0.2279,42.4472
V1267,54.55,16,0,0.1478,0.2466,43.2858
V1268,20.05,10,3,0.054,-0.5421,15.5579
V1269,15.64,12,1,0.042,-0.6429,12.5569
V1270,74.58,11,0,0.2023,0.7045,59.5743
V1271,74.76,11,2,0.2028,0.7087,59.6941
V1272,90.81,15,3,0.2465,1.0756,73.7493
V1273,110.01,11,1,0.2987,1.5145,90.1784
V1274,32.22,15,5,0.0871,-0.2639,25.2416
V1275,31.33,12,3,0.0847,-0.2842,24.3353
V1276,72.04,21,3,0.1954,0.6465,58.1058
V1277,47.24,7,4,0.128,0.0795,36.3592
V1278,54.47,11,1,0.1476,0.2448,42.786
V1279,71.49,7,2,0.1939,0.6339,56.4449
V1280,99.33,8,2,0.2697,1.2704,80.4648
V1281,18.56,15,2,0.0499,-0.5762,14.9226
V1282,21.19,11,2,0.0571,-0.5161,16.5278
V1283,4.44,12,3,0.0115,-0.899,4.8053
V1284,38.85,15,3,0.1051,-0.1123,30.4868
V1285,1.65,14,2,0.0039,-0.9628,3.2844
V1286,28.2,12,3,0.0762,-0.3558,21.9184
V1287,35.2,13,1,0.0952,-0.1958,27.4792
V1288,15.19,8,3,0.0408,-0.6532,11.7569
V1289,40.21,12,5,0.1088,-0.0812,31.2834
V1290,1.39,3,0,0.0032,-0.9687,1.5818
V1291,1.71,14,1,0.0041,-0.9614,3.3356
V1292,77.82,6,2,0.2112,0.7786,61.6434
V1293,20.1,20,0,0.0541,-0.541,16.4205
V1294,6.12,10,2,0.0161,-0.8606,5.7125
V1295,33.24,10,0,0.0899,-0.2406,25.6712
V1296,66.13,14,2,0.1793,0.5114,52.6985
V1297,10.94,8,1,0.0292,-0.7504,8.769
V1298,43.88,14,3,0.1188,0.0027,34.4233
V1299,4.01,9,2,0.0103,-0.9088,4.2342
V1300,2.39,10,5,0.0059,-0.9459,3.2971
V1301,34.11,13,3,0.0922,-0.2207,26.5913
V1302,35.01,9,1,0.0947,-0.2001,26.9263
V1303,45.65,13,1,0.1236,0.0431,35.7975
V1304,58.27,13,3,0.158,0.3317,46.0655
V1305,167.56,15,0,0.4553,2.8302,142.3433
V1306,32.68,13,0,0.0883,-0.2534,25.5238
V1307,17.55,7,1,0.0472,-0.5993,13.3654
V1308,71.35,18,1,0.1936,0.6307,57.3814
V1309,14.21,11,2,0.0381,-0.6756,11.4138
V1310,26.01,11,4,0.0702,-0.4059,20.1298
V1311,3.68,19,2,0.0094,-0.9164,4.8583
V1312,1.16,7,6,0.0026,-0.974,2.182
V1313,147.93,17,1,0.4019,2.3814,124.5602
V1314,81.35,10,2,0.2208,0.8593,65.1934
V1315,53.58,18,1,0.1452,0.2244,42.608
V1316,23.66,15,3,0.0638,-0.4596,18.7102
V1317,8.56,15,3,0.0227,-0.8048,7.7827
V1318,7.66,8,2,0.0203,-0.8254,6.4989
V1319,12.96,4,4,0.0347,-0.7042,9.4368
V1320,35.86,16,2,0.097,-0.1807,28.2145
V1321,56.42,12,3,0.1529,0.2894,44.4512
V1322,48.57,15,2,0.1316,0.1099,38.302
V1323,14.78,13,2,0.0396,-0.6626,12.0083
V1324,139.41,10,1,0.3787,2.1867,116.2685
V1325,60.26,13,3,0.1634,0.3772,47.7118
V1326,36.37,8,3,0.0984,-0.169,27.836
V1327,42.57,7,2,0.1152,-0.0273,32.6357
V1328,24.48,15,0,0.066,-0.4408,19.3795
V1329,12.81,13,1,0.0343,-0.7076,10.6163
V1330,19.8,13,1,0.0533,-0.5478,15.6952
V1331,63.82,10,5,0.1731,0.4585,50.3462
V1332,0.65,12,1,0.0012,-0.9856,2.5731
V1333,5.55,15,3,0.0145,-0.8736,5.7714
V1334,2.12,15,2,0.0052,-0.952,3.6372
V1335,1.87,20,3,0.0045,-0.9577,3.7994
V1336,87.04,10,4,0.2362,0.9894,70.0346
V1337,54.73,10,3,0.1483,0.2507,42.8616
V1338,28.93,11,3,0.0781,-0.3391,22.3837
V1339,4.63,17,2,0.012,-0.8946,5.3342
V1340,30.44,11,3,0.0822,-0.3046,23.5494
V1341,28.87,14,2,0.078,-0.3405,22.6221
V1342,8.56,13,2,0.0227,-0.8048,7.6393
V1343,25.6,15,5,0.0691,-0.4152,20.1454
V1344,22.88,13,4,0.0617,-0.4774,17.9451
V1345,43.05,13,1,0.1166,-0.0163,33.7081
V1346,45.37,13,2,0.1229,0.0367,35.5554
V1347,2.09,13,3,0.0051,-0.9527,3.4423
V1348,21.12,12,2,0.0569,-0.5177,16.5716
V1349,44.24,5,2,0.1198,0.0109,33.6297
V1350,31.47,15,0,0.085,-0.281,24.7426
V1351,87.36,15,3,0.2371,0.9967,70.7766
V1352,48.37,11,2,0.131,0.1053,37.7947
V1353,8.0,10,3,0.0212,-0.8176,6.9526
V1354,3.29,6,2,0.0084,-0.9253,3.3555
V1355,46.28,13,3,0.1253,0.0576,36.2723
V1356,1.21,13,2,0.0027,-0.9728,2.9509
V1357,39.66,13,2,0.1073,-0.0938,30.9864
V1358,126.78,7,2,0.3444,1.8979,104.5415
V1359,38.56,16,3,0.1043,-0.1189,30.3297
V1360,22.11,13,2,0.0596,-0.495,17.4009
V1361,46.39,8,1,0.1256,0.0601,35.8642
V1362,27.58,10,1,0.0745,-0.37,21.2756
V1363,35.5,9,3,0.096,-0.1889,27.2778
V1364,127.72,10,0,0.3469,1.9194,105.7956
V1365,21.96,9,0,0.0592,-0.4984,16.9174
V1366,146.21,11,3,0.3972,2.3421,122.4821
V1367,106.09,7,2,0.2881,1.4249,86.2318
V1368,9.81,14,2,0.0261,-0.7762,8.5802
V1369,3.23,11,0,0.0082,-0.9266,3.9978
V1370,4.78,15,2,0.0124,-0.8912,5.2892
V1371,0.83,13,1,0.0017,-0.9815,2.758
V1372,4.46,15,2,0.0116,-0.8985,5.0841
V1373,51.7,20,3,0.1401,0.1815,41.1579
V1374,3.32,5,1,0.0085,-0.9246,3.2056
V1375,17.29,9,5,0.0465,-0.6052,13.3749
V1376,83.86,17,1,0.2276,0.9167,67.9473
V1377,1.06,9,2,0.0023,-0.9763,2.4636
V1378,75.8,11,2,0.2057,0.7324,60.5752
V1379,14.9,5,1,0.04,-0.6599,11.0945
V1380,5.66,17,3,0.0148,-0.8711,5.9846
V1381,53.69,12,1,0.1455,0.227,42.2427
V1382,44.61,10,1,0.1208,0.0194,34.6709
V1383,94.47,21,1,0.2565,1.1593,77.3309
V1384,59.77,19,1,0.162,0.366,47.7672
V1385,73.21,11,4,0.1986,0.6732,58.3491
V1386,14.91,9,0,0.04,-0.6596,11.7309
V1387,8.79,8,1,0.0233,-0.7995,7.2826
V1388,62.49,13,1,0.1694,0.4281,49.5963
V1389,73.99,7,1,0.2007,0.6911,58.5724
V1390,209.57,9,1,0.5696,3.7906,180.7735
V1391,23.94,16,1,0.0646,-0.4532,19.0277
V1392,20.94,12,0,0.0564,-0.5218,16.47
V1393,67.41,16,3,0.1828,0.5406,53.9035
V1394,18.75,12,0,0.0504,-0.5718,14.8461
V1395,120.16,11,3,0.3264,1.7466,99.1177
V1396,87.97,16,1,0.2388,1.0107,71.4074
V1397,25.22,12,6,0.068,-0.4239,19.5896
V1398,62.54,14,1,0.1696,0.4293,49.7207
V1399,63.21,5,2,0.1714,0.4446,49.1622
V1400,4.9,15,1,0.0128,-0.8885,5.383
V1401,104.78,8,1,0.2845,1.395,85.2417
V1402,31.67,8,4,0.0856,-0.2765,24.1409
V1403,78.81,15,1,0.2138,0.8012,63.494
V1404,17.36,9,2,0.0467,-0.6036,13.4776
V1405,101.65,9,3,0.276,1.3234,82.5978
V1406,22.18,12,0,0.0598,-0.4934,17.3971
V1407,0.49,12,1,0.0008,-0.9893,2.4899
V1408,106.11,7,1,0.2881,1.4254,86.2658
V1409,4.31,16,1,0.0112,-0.902,5.0777
V1410,17.31,9,3,0.0465,-0.6048,13.4242
V1411,134.86,10,1,0.3663,2.0826,112.175
V1412,135.36,13,2,0.3677,2.0941,112.8971
V1413,38.34,15,3,0.1037,-0.124,30.0826
V1414,44.97,18,1,0.1218,0.0276,35.6164
V1415,26.78,8,2,0.0723,-0.3883,20.4061
V1416,15.62,15,3,0.0419,-0.6434,12.7583
V1417,17.93,8,1,0.0482,-0.5906,13.7854
V1418,50.23,14,2,0.1361,0.1479,39.5731
V1419,62.81,11,3,0.1703,0.4355,49.6442
V1420,70.57,15,2,0.1914,0.6129,56.5017
V1421,70.15,13,0,0.1903,0.6033,56.0207
V1422,4.3,17,3,0.0111,-0.9022,5.1066
V1423,30.69,8,2,0.0829,-0.2989,23.4146
V1424,2.67,13,2,0.0067,-0.9395,3.807
V1425,35.89,6,0,0.0971,-0.18,27.206
V1426,26.21,16,1,0.0707,-0.4013,20.7507
V1427,98.4,14,0,0.2671,1.2491,80.3007
V1428,19.45,12,1,0.0523,-0.5558,15.347
V1429,5.6,12,1,0.0147,-0.8725,5.5882
V1430,6.94,12,2,0.0183,-0.8418,6.4571
V1431,64.5,10,3,0.1749,0.4741,50.9479
V1432,43.33,7,3,0.1173,-0.0099,33.2277
V1433,4.8,8,2,0.0125,-0.8908,4.6116
V1434,3.95,11,2,0.0102,-0.9102,4.4151
V1435,54.32,14,4,0.1472,0.2414,42.8803
V1436,3.4,10,1,0.0087,-0.9228,3.9826
V1437,77.63,13,3,0.2106,0.7743,62.2969
V1438,55.12,14,3,0.1494,0.2596,43.554
V1439,3.82,14,4,0.0098,-0.9132,4.567
V1440,3.99,9,2,0.0103,-0.9093,4.2215
V1441,194.2,10,4,0.5278,3.4393,166.4647
V1442,21.1,14,3,0.0568,-0.5181,16.7115
V1443,20.84,10,2,0.0561,-0.5241,16.1623
V1444,75.4,15,3,0.2046,0.7233,60.5646
V1445,132.4,14,2,0.3597,2.0264,110.3233
V1446,192.09,7,2,0.5221,3.391,164.1522
V1447,63.0,12,4,0.1708,0.4398,49.8812
V1448,21.24,12,4,0.0572,-0.5149,16.6272
V1449,3.92,24,1,0.0101,-0.9109,5.2934
V1450,67.56,11,1,0.1832,0.544,53.6445
V1451,36.78,10,0,0.0995,-0.1596,28.4495
V1452,24.84,10,3,0.067,-0.4326,19.1532
V1453,106.57,14,1,0.2894,1.4359,87.4236
V1454,5.3,16,6,0.0138,-0.8793,5.6288
V1455,30.53,17,1,0.0825,-0.3025,24.139
V1456,0.51,14,1,0.0008,-0.9888,2.6719
V1457,28.46,6,3,0.0769,-0.3498,21.3753
V1458,2.61,10,3,0.0065,-0.9408,3.4644
V1459,5.69,10,0,0.0149,-0.8704,5.4627
V1460,5.63,15,2,0.0147,-0.8718,5.8405
V1461,47.14,14,1,0.1277,0.0772,37.0831
V1462,61.68,17,3,0.1672,0.4096,49.1914
V1463,39.4,6,1,0.1066,-0.0997,29.9646
V1464,147.36,15,3,0.4004,2.3684,123.8689
V1465,21.14,16,5,0.0569,-0.5172,16.8569
V1466,15.14,13,0,0.0406,-0.6544,12.3005
V1467,91.33,17,1,0.2479,1.0875,74.373
V1468,11.39,12,2,0.0304,-0.7401,9.5088
V1469,148.63,10,1,0.4038,2.3975,124.6039
V1470,0.55,15,5,0.0009,-0.9879,2.702
V1471,157.61,17,1,0.4282,2.6028,133.3633
V1472,1.99,13,3,0.0048,-0.955,3.3833
V1473,99.8,13,2,0.271,1.2811,81.4046
V1474,33.76,9,2,0.0913,-0.2287,25.9305
V1475,223.06,7,0,0.6063,4.0991,193.224
V1476,3.45,12,2,0.0088,-0.9216,4.1977
V1477,36.32,20,2,0.0982,-0.1702,28.8302
V1478,156.76,15,4,0.4259,2.5833,132.3963
V1479,33.32,13,0,0.0901,-0.2387,26.0231
V1480,44.67,9,3,0.121,0.0207,34.5715
V1481,53.55,12,3,0.1451,0.2238,42.0947
V1482,27.28,8,3,0.0736,-0.3768,20.7717
V1483,44.45,12,2,0.1204,0.0157,34.7263
V1484,39.5,13,0,0.1069,-0.0975,30.8919
V1485,104.14,9,2,0.2828,1.3803,84.7913
V1486,2.09,9,2,0.0051,-0.9527,3.0554
V1487,14.84,7,1,0.0398,-0.6612,11.3965
V1488,135.18,15,0,0.3672,2.09,112.9283
V1489,99.44,12,0,0.27,1.2729,81.0346
V1490,27.37,18,1,0.0739,-0.3748,21.7706
V1491,43.56,6,0,0.1179,-0.0046,33.3014
V1492,14.62,7,2,0.0392,-0.6663,11.2217
V1493,9.38,12,1,0.0249,-0.786,8.1285
V1494,28.04,12,3,0.0757,-0.3594,21.7955
V1495,19.62,9,1,0.0528,-0.5519,15.158
V1496,39.43,11,1,0.1067,-0.0991,30.6352
V1497,3.64,17,6,0.0093,-0.9173,4.6375
V1498,164.92,13,3,0.4481,2.7699,139.7123
V1499,192.77,16,1,0.5239,3.4066,165.706
V1500,53.9,13,1,0.1461,0.2318,42.5037
V1501,34.56,9,4,0.0935,-0.2104,26.5229
V1502,16.67,13,3,0.0448,-0.6194,13.3607
V1503,75.64,7,0,0.2052,0.7288,59.9857
V1504,51.94,11,0,0.1407,0.1869,40.7317
V1505,7.99,7,3,0.0212,-0.8178,6.5637
V1506,108.82,15,3,0.2955,1.4873,89.4437
V1507,77.8,6,4,0.2111,0.7782,61.5924
V1508,134.63,19,2,0.3657,2.0774,112.6694
