order_date,product_line,order_amount,marketing_spend
2025-09-25,Product D,109.26,12.1
2025-09-25,Product D,96.18,20.21
2025-09-25,Product D,120.73,25.13
2025-09-25,Product D,79.73,13.49
2025-09-25,Product D,123.0,31.35
2025-09-25,Product D,86.52,17.14
2025-09-25,Product D,60.52,16.42
2025-09-26,Product A,154.63,25.57
2025-09-26,Product A,134.84,24.0
2025-09-26,Product A,179.9,28.76
2025-09-26,Product A,134.47,30.77
2025-09-26,Product A,178.02,24.46
2025-09-26,Product A,163.83,15.85
2025-09-26,Product A,147.44,20.76
2025-09-26,Product A,197.03,28.38
2025-09-26,Product A,184.08,26.99
2025-09-26,Product A,175.45,28.7
2025-09-26,Product A,189.21,27.89
2025-09-26,Product B,106.77,19.78
2025-09-26,Product B,120.19,16.49
2025-09-26,Product B,148.11,10.0
2025-09-26,Product B,150.21,40.76
2025-09-26,Product B,135.02,25.03
2025-09-26,Product B,167.55,27.17
2025-09-26,Product B,132.22,10.0
2025-09-26,Product B,159.1,26.14
2025-09-26,Product C,89.25,14.33
2025-09-26,Product C,162.3,44.72
2025-09-26,Product C,122.15,19.35
2025-09-26,Product C,108.36,24.43
2025-09-26,Product C,120.83,25.86
2025-09-26,Product C,119.32,24.54
2025-09-26,Product D,76.97,17.82
2025-09-26,Product D,86.45,30.84
2025-09-26,Product D,106.14,12.86
2025-09-26,Product D,109.77,17.95
2025-09-27,Product A,157.56,35.58
2025-09-27,Product A,183.83,44.93
2025-09-27,Product A,219.89,29.14
2025-09-27,Product A,171.55,19.75
2025-09-27,Product A,152.89,20.95
2025-09-27,Product A,146.74,16.53
2025-09-27,Product B,206.81,31.55
2025-09-27,Product B,146.58,14.56
2025-09-27,Product B,182.53,39.99
2025-09-27,Product C,122.1,10.0
2025-09-27,Product C,98.36,27.14
2025-09-27,Product C,146.68,41.14
2025-09-27,Product C,84.98,21.11
2025-09-27,Product C,142.34,18.05
2025-09-27,Product D,101.02,19.82
2025-09-28,Product A,169.13,32.29
2025-09-28,Product A,163.3,24.48
2025-09-28,Product A,172.03,13.88
2025-09-28,Product A,180.49,30.68
2025-09-28,Product A,170.87,36.73
2025-09-28,Product B,159.62,34.6
2025-09-28,Product B,155.65,24.37
2025-09-28,Product B,98.63,22.92
2025-09-28,Product B,171.88,34.38
2025-09-28,Product B,125.65,26.75
2025-09-28,Product C,121.94,28.58
2025-09-28,Product C,114.31,36.97
2025-09-28,Product C,100.18,17.34
2025-09-28,Product C,120.24,33.48
2025-09-28,Product C,87.06,10.0
2025-09-28,Product C,75.17,16.8
2025-09-28,Product C,95.4,17.91
2025-09-28,Product C,134.55,24.47
2025-09-28,Product D,105.45,17.66
2025-09-28,Product D,91.29,28.43
2025-09-29,Product A,165.4,33.55
2025-09-29,Product A,161.84,29.4
2025-09-29,Product A,189.18,27.67
2025-09-29,Product A,156.44,17.04
2025-09-29,Product A,146.58,10.29
2025-09-29,Product A,186.06,46.1
2025-09-29,Product A,201.36,21.22
2025-09-29,Product B,100.83,19.27
2025-09-29,Product B,121.6,22.27
2025-09-29,Product B,110.65,23.15
2025-09-29,Product C,114.14,20.46
2025-09-29,Product C,85.88,22.52
2025-09-29,Product C,110.1,15.62
2025-09-29,Product D,108.62,14.61
2025-09-29,Product D,95.71,22.23
2025-09-29,Product D,84.66,22.11
2025-09-30,Product A,137.74,14.67
2025-09-30,Product A,192.59,17.37
2025-09-30,Product A,194.84,32.68
2025-09-30,Product A,143.77,19.78
2025-09-30,Product A,147.62,32.03
2025-09-30,Product A,186.11,17.89
2025-09-30,Product A,161.12,20.48
2025-09-30,Product A,198.46,22.94
2025-09-30,Product B,105.34,11.89
2025-09-30,Product B,125.0,14.28
2025-09-30,Product B,189.02,32.58
2025-09-30,Product B,150.4,11.36
2025-09-30,Product B,130.61,23.93
2025-09-30,Product B,122.46,28.08
2025-09-30,Product B,118.54,17.86
2025-09-30,Product B,132.11,23.77
2025-09-30,Product B,130.91,20.09
2025-09-30,Product C,125.24,26.84
2025-09-30,Product C,110.53,30.69
2025-09-30,Product D,132.32,18.39
2025-09-30,Product D,111.94,10.0
2025-10-01,Product A,157.67,27.05
2025-10-01,Product A,164.45,21.67
2025-10-01,Product A,163.62,29.4
2025-10-01,Product B,166.23,28.96
2025-10-01,Product B,153.62,28.55
2025-10-01,Product B,142.99,20.06
2025-10-01,Product B,193.71,29.32
2025-10-01,Product B,130.35,25.63
2025-10-01,Product C,95.56,30.53
2025-10-01,Product C,133.76,19.31
2025-10-01,Product C,159.1,40.27
2025-10-01,Product D,129.98,29.87
2025-10-02,Product A,140.66,12.14
2025-10-02,Product A,182.43,10.2
2025-10-02,Product A,174.52,25.84
2025-10-02,Product A,198.78,29.84
2025-10-02,Product A,184.51,28.19
2025-10-02,Product A,172.5,35.22
2025-10-02,Product A,159.82,35.14
2025-10-02,Product B,123.12,26.21
2025-10-02,Product B,155.95,27.33
2025-10-02,Product B,120.29,26.58
2025-10-02,Product B,118.06,29.34
2025-10-02,Product B,207.86,38.27
2025-10-02,Product B,157.83,22.89
2025-10-02,Product C,113.2,23.52
2025-10-02,Product C,141.22,30.81
2025-10-02,Product C,131.68,27.4
2025-10-02,Product C,112.47,13.49
2025-10-02,Product C,76.49,14.74
2025-10-02,Product C,121.24,16.38
2025-10-02,Product D,74.87,19.73
2025-10-02,Product D,103.52,13.55
2025-10-03,Product A,203.96,36.73
2025-10-03,Product A,132.28,16.78
2025-10-03,Product A,186.98,29.55
2025-10-03,Product A,158.73,38.19
2025-10-03,Product A,146.96,18.6
2025-10-03,Product A,174.65,32.81
2025-10-03,Product A,180.92,38.05
2025-10-03,Product A,174.37,33.56
2025-10-03,Product A,164.3,28.43
2025-10-03,Product A,172.37,31.02
2025-10-03,Product A,187.0,36.23
2025-10-03,Product A,170.97,22.59
2025-10-03,Product A,171.49,28.93
2025-10-03,Product A,174.25,47.27
2025-10-03,Product A,158.48,30.32
2025-10-03,Product B,152.02,35.92
2025-10-03,Product B,142.91,21.64
2025-10-03,Product B,204.49,37.92
2025-10-03,Product B,129.17,16.4
2025-10-03,Product B,124.26,28.62
2025-10-03,Product B,136.98,24.31
2025-10-03,Product B,143.6,30.26
2025-10-03,Product B,126.37,12.88
2025-10-03,Product C,108.53,16.32
2025-10-03,Product C,148.63,37.77
2025-10-03,Product C,133.31,39.31
2025-10-03,Product C,181.88,26.34
2025-10-03,Product C,103.76,17.9
2025-10-03,Product D,102.37,22.93
2025-10-03,Product D,105.58,27.29
2025-10-03,Product D,108.27,20.83
2025-10-04,Product A,214.24,40.81
2025-10-04,Product A,185.97,24.17
2025-10-04,Product A,148.02,25.46
2025-10-04,Product A,173.81,14.7
2025-10-04,Product A,166.03,28.34
2025-10-04,Product A,165.27,21.59
2025-10-04,Product A,158.13,25.47
2025-10-04,Product B,135.45,29.35
2025-10-04,Product B,166.55,38.65
2025-10-04,Product B,184.12,24.37
2025-10-04,Product B,145.31,24.79
2025-10-04,Product B,142.84,19.09
2025-10-04,Product B,112.32,19.84
2025-10-04,Product C,132.74,46.69
2025-10-04,Product C,126.1,31.62
2025-10-04,Product C,96.29,10.89
2025-10-04,Product C,154.82,26.67
2025-10-04,Product C,97.03,21.03
2025-10-04,Product D,122.05,20.4
2025-10-04,Product D,64.34,21.7
2025-10-05,Product A,168.8,38.02
2025-10-05,Product A,147.2,24.35
2025-10-05,Product A,184.85,12.37
2025-10-05,Product B,148.04,23.61
2025-10-05,Product B,155.51,32.75
2025-10-05,Product B,158.39,25.21
2025-10-05,Product B,104.38,14.1
2025-10-05,Product B,154.16,17.48
2025-10-05,Product B,158.89,34.28
2025-10-05,Product B,147.79,10.0
2025-10-05,Product C,120.29,35.3
2025-10-05,Product C,126.09,31.41
2025-10-05,Product C,127.99,33.74
2025-10-05,Product C,170.1,45.19
2025-10-05,Product D,120.11,36.05
2025-10-06,Product A,163.27,23.83
2025-10-06,Product A,150.42,10.0
2025-10-06,Product A,160.44,30.23
2025-10-06,Product A,159.15,42.54
2025-10-06,Product A,170.29,39.28
2025-10-06,Product B,146.23,28.83
2025-10-06,Product B,153.06,23.71
2025-10-06,Product B,153.91,44.04
